model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.8181818181818182,0.8333333333333333,0.8166666666666667,"[[5, 0], [2, 4]]","[0, 1]",0.15
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.7272727272727273,0.7166666666666667,0.7179487179487178,"[[3, 2], [1, 5]]","[0, 1]",0.2
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.6363636363636364,0.6666666666666666,0.6071428571428572,"[[5, 0], [4, 2]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.5454545454545454,0.5833333333333334,0.47619047619047616,"[[5, 0], [5, 1]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.5454545454545454,0.55,0.5454545454545454,"[[3, 2], [3, 3]]","[0, 1]",0.2
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.5454545454545454,0.5333333333333333,0.5299145299145299,"[[2, 3], [2, 4]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.4666666666666667,0.45,"[[3, 2], [4, 2]]","[0, 1]",0.1
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.4166666666666667,0.3125,"[[0, 5], [1, 5]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.4166666666666667,0.3125,"[[0, 5], [1, 5]]","[0, 1]",0.2
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.4166666666666667,0.3125,"[[0, 5], [1, 5]]","[0, 1]",0.3
